DATE,TIME,OPEN,HIGH,LOW,CLOSE,CHANGE,GAIN,LOSS,AVG+AF8-GAIN,AVG+AF8-LOSS,RS,RSI+AF8-14
20200102,11:24:00,1483.2,1484.3,1482.9,1484.3,1.10,1.10,0.00,0.24,0.36,0.65,39.56
20200102,11:25:00,1484.3,1484.775,1484.3,1484.675,0.38,0.38,0.00,0.25,0.34,0.73,42.32
20200102,11:26:00,1484.675,1484.725,1483.175,1483.675,+AC0-1.00,0.00,1.00,0.23,0.39,0.60,37.41
20200102,11:27:00,1483.675,1484.8,1483.675,1484.15,0.48,0.48,0.00,0.25,0.36,0.69,40.92
20200102,11:28:00,1484.15,1484.75,1484.1,1484.75,0.60,0.60,0.00,0.27,0.33,0.82,45.10
20200102,11:29:00,1484.75,1484.8,1484.55,1484.8,0.05,0.05,0.00,0.26,0.31,0.83,45.44
20200102,11:30:00,1484.8,1484.925,1484.5,1484.5,+AC0-0.30,0.00,0.30,0.24,0.31,0.78,43.66
20200102,11:31:00,1484.5,1484.7,1484.175,1484.175,+AC0-0.33,0.00,0.33,0.22,0.31,0.72,41.75
20200102,11:32:00,1484.175,1484.7,1484.05,1484.7,0.53,0.53,0.00,0.24,0.29,0.85,45.87
20200102,11:33:00,1484.7,1485.8,1484.55,1485.75,1.05,1.05,0.00,0.30,0.27,1.13,53.02
20200102,11:34:00,1485.75,1488.275,1485.75,1488.275,2.53,2.53,0.00,0.46,0.25,1.86,65.00
20200102,11:35:00,1488.275,1489.35,1488.275,1488.95,0.67,0.67,0.00,0.48,0.23,2.07,67.39
20200102,11:36:00,1488.95,1489.35,1488.825,1489.25,0.30,0.30,0.00,0.46,0.21,2.17,68.43
20200102,11:37:00,1489.25,1489.475,1489.15,1489.225,+AC0-0.03,0.00,0.03,0.43,0.20,2.15,68.23
20200102,11:38:00,1489.225,1489.275,1488.8,1488.85,+AC0-0.38,0.00,0.38,0.40,0.21,1.88,65.24
20200102,11:39:00,1488.85,1488.9,1488.375,1488.4,+AC0-0.45,0.00,0.45,0.37,0.23,1.61,61.75
20200102,11:40:00,1488.4,1488.7,1487.75,1487.75,+AC0-0.65,0.00,0.65,0.34,0.26,1.33,57.00
20200102,11:41:00,1487.75,1488.175,1487.375,1488.125,0.38,0.38,0.00,0.35,0.24,1.44,58.96
20200102,11:42:00,1488.125,1488.175,1487.6,1488.1,+AC0-0.03,0.00,0.03,0.32,0.23,1.43,58.77
20200102,11:43:00,1488.1,1489.125,1487.75,1488.875,0.78,0.78,0.00,0.35,0.21,1.69,62.82
20200102,11:44:00,1488.875,1488.9,1488.4,1488.625,+AC0-0.25,0.00,0.25,0.33,0.21,1.55,60.75
20200102,11:45:00,1488.625,1488.75,1488.6,1488.75,0.13,0.13,0.00,0.31,0.20,1.59,61.43
20200102,11:46:00,1488.75,1488.775,1488.325,1488.6,+AC0-0.15,0.00,0.15,0.29,0.19,1.50,60.07
20200102,11:47:00,1488.6,1488.6,1487.675,1487.675,+AC0-0.92,0.00,0.92,0.27,0.25,1.10,52.39
20200102,11:48:00,1487.675,1487.925,1487.675,1487.675,0.00,0.00,0.00,0.25,0.23,1.10,52.39
20200102,11:49:00,1487.675,1487.75,1487.675,1487.75,0.08,0.08,0.00,0.24,0.21,1.13,52.96
20200102,11:50:00,1487.75,1487.775,1487.2,1487.4,+AC0-0.35,0.00,0.35,0.22,0.22,1.00,49.98
20200102,11:51:00,1487.4,1488.7,1487.4,1487.825,0.42,0.42,0.00,0.24,0.21,1.15,53.41
20200102,11:52:00,1487.825,1487.825,1487.825,1487.825,0.00,0.00,0.00,0.22,0.19,1.15,53.41
20200102,11:53:00,1487.825,1487.825,1487.15,1487.375,+AC0-0.45,0.00,0.45,0.20,0.21,0.97,49.26
20200102,11:54:00,1487.375,1487.775,1487.375,1487.775,0.40,0.40,0.00,0.22,0.19,1.12,52.77
20200102,11:55:00,1487.775,1487.775,1486.25,1486.725,+AC0-1.05,0.00,1.05,0.20,0.26,0.79,44.13
20200102,11:56:00,1486.725,1487.3,1486.35,1486.4,+AC0-0.32,0.00,0.32,0.19,0.26,0.72,41.85
20200102,11:57:00,1486.4,1487.25,1486.35,1487.25,0.85,0.85,0.00,0.24,0.24,0.97,49.25
20200102,11:58:00,1487.25,1487.9,1487.025,1487.9,0.65,0.65,0.00,0.26,0.22,1.18,54.06
20200102,11:59:00,1487.9,1487.925,1487.5,1487.7,+AC0-0.20,0.00,0.20,0.25,0.22,1.10,52.41
20200102,12:00:00,1487.7,1488.525,1487.7,1488.425,0.72,0.72,0.00,0.28,0.21,1.35,57.47
20200102,12:01:00,1488.425,1488.675,1487.45,1488.1,+AC0-0.33,0.00,0.33,0.26,0.22,1.21,54.66
20200102,12:02:00,1488.1,1488.1,1487.225,1487.3,+AC0-0.80,0.00,0.80,0.24,0.26,0.94,48.40
20200102,12:03:00,1487.3,1487.45,1486.675,1486.975,+AC0-0.33,0.00,0.33,0.22,0.26,0.86,46.09
20200102,12:04:00,1486.975,1487.525,1486.65,1486.9,+AC0-0.07,0.00,0.07,0.21,0.25,0.84,45.55
20200102,12:05:00,1486.9,1487.05,1486.6,1486.925,0.02,0.02,0.00,0.20,0.23,0.84,45.78
20200102,12:06:00,1486.925,1487.35,1486.65,1486.725,+AC0-0.20,0.00,0.20,0.18,0.23,0.79,44.19
20200102,12:07:00,1486.725,1487.625,1486.725,1487.625,0.90,0.90,0.00,0.23,0.21,1.09,52.25
20200102,12:08:00,1487.625,1487.625,1487.125,1487.4,+AC0-0.22,0.00,0.22,0.22,0.21,1.01,50.29
20200102,12:09:00,1487.4,1488.225,1487.375,1487.7,0.30,0.30,0.00,0.22,0.20,1.12,52.83
20200102,12:10:00,1487.7,1487.7,1487.1,1487.1,+AC0-0.60,0.00,0.60,0.21,0.23,0.91,47.60
20200102,12:11:00,1487.1,1487.375,1487.1,1487.3,0.20,0.20,0.00,0.21,0.21,0.98,49.40
20200102,12:12:00,1487.3,1487.575,1486.95,1487.575,0.28,0.28,0.00,0.21,0.20,1.08,51.84
20200102,12:13:00,1487.575,1487.95,1487.4,1487.95,0.38,0.38,0.00,0.22,0.18,1.22,55.04
20200102,12:14:00,1487.95,1488.175,1487.525,1487.8,+AC0-0.15,0.00,0.15,0.21,0.18,1.15,53.51
20200102,12:15:00,1487.8,1488.175,1487.7,1488.05,0.25,0.25,0.00,0.21,0.17,1.26,55.72
20200102,12:16:00,1488.05,1488.15,1487.7,1487.7,+AC0-0.35,0.00,0.35,0.19,0.18,1.08,51.99
20200102,12:17:00,1487.7,1488.625,1487.7,1488.35,0.65,0.65,0.00,0.23,0.17,1.36,57.65
20200102,12:18:00,1488.35,1488.65,1488.3,1488.6,0.25,0.25,0.00,0.23,0.15,1.48,59.62
20200102,12:19:00,1488.6,1488.65,1487.875,1488.175,+AC0-0.42,0.00,0.42,0.21,0.17,1.22,54.94
20200102,12:20:00,1488.175,1488.625,1487.775,1487.85,+AC0-0.33,0.00,0.33,0.20,0.18,1.07,51.60
20200102,12:21:00,1487.85,1487.85,1487.325,1487.325,+AC0-0.52,0.00,0.52,0.18,0.21,0.88,46.67
20200102,12:22:00,1487.325,1487.45,1486.5,1486.5,+AC0-0.83,0.00,0.83,0.17,0.25,0.67,40.18
20200102,12:23:00,1486.5,1486.775,1485.8,1485.975,+AC0-0.53,0.00,0.53,0.16,0.27,0.58,36.68
20200102,12:24:00,1485.975,1487.625,1485.975,1487.6,1.63,1.63,0.00,0.26,0.25,1.04,50.92
20200102,12:25:00,1487.6,1487.875,1487.6,1487.85,0.25,0.25,0.00,0.26,0.24,1.11,52.69
20200102,12:26:00,1487.85,1487.85,1487.4,1487.8,+AC0-0.05,0.00,0.05,0.24,0.22,1.10,52.28
20200102,12:27:00,1487.8,1488.275,1487.3,1487.7,+AC0-0.10,0.00,0.10,0.23,0.21,1.06,51.43
20200102,12:28:00,1487.7,1487.825,1486.775,1486.775,+AC0-0.92,0.00,0.92,0.21,0.26,0.79,44.26
20200102,12:29:00,1486.775,1487.725,1486.775,1487.55,0.77,0.77,0.00,0.25,0.25,1.02,50.49
20200102,12:30:00,1487.55,1487.725,1487.075,1487.675,0.13,0.13,0.00,0.24,0.23,1.06,51.43
20200102,12:31:00,1487.675,1487.675,1487.35,1487.525,+AC0-0.15,0.00,0.15,0.22,0.22,1.01,50.20
20200102,12:32:00,1487.525,1487.8,1487.425,1487.575,0.05,0.05,0.00,0.21,0.21,1.03,50.62
20200102,12:33:00,1487.575,1487.675,1487.575,1487.675,0.10,0.10,0.00,0.20,0.19,1.06,51.52
20200102,12:34:00,1487.675,1487.75,1487.4,1487.4,+AC0-0.27,0.00,0.27,0.19,0.20,0.96,48.90
20200102,12:35:00,1487.4,1488.25,1487.4,1488.25,0.85,0.85,0.00,0.24,0.18,1.29,56.29
20200102,12:36:00,1488.25,1488.425,1487.7,1488.2,+AC0-0.05,0.00,0.05,0.22,0.17,1.26,55.78
20200102,12:37:00,1488.2,1490.775,1488.2,1490.7,2.50,2.50,0.00,0.38,0.16,2.37,70.31
20200102,12:38:00,1490.7,1490.7,1490.225,1490.225,+AC0-0.48,0.00,0.48,0.35,0.18,1.93,65.88
20200102,12:39:00,1490.225,1496.65,1490.125,1495.8,5.58,5.58,0.00,0.73,0.17,4.26,81.00
20200102,12:40:00,1495.8,1497.6,1494.675,1497.525,1.73,1.73,0.00,0.80,0.16,5.04,83.45
20200102,12:41:00,1497.525,1497.75,1496.6,1497.425,+AC0-0.10,0.00,0.10,0.74,0.15,4.81,82.78
20200102,12:42:00,1497.425,1497.425,1496.4,1496.6,+AC0-0.83,0.00,0.83,0.69,0.20,3.41,77.31
20200102,12:43:00,1496.6,1496.875,1494.825,1494.875,+AC0-1.72,0.00,1.72,0.64,0.31,2.06,67.29
20200102,12:44:00,1494.875,1495.175,1494.225,1494.625,+AC0-0.25,0.00,0.25,0.59,0.31,1.94,65.95
20200102,12:45:00,1494.625,1495.15,1494.325,1495.15,0.53,0.53,0.00,0.59,0.28,2.07,67.42
20200102,12:46:00,1495.15,1496.425,1494.85,1494.85,+AC0-0.30,0.00,0.30,0.55,0.29,1.91,65.68
20200102,12:47:00,1494.85,1495.425,1494.85,1495.3,0.45,0.45,0.00,0.54,0.27,2.03,67.05
